TRANSACTION_DATE,TRANSACTION_TYPE,EXPENSE,AMOUNT,CURRENCY
06.08.2018,transfer,money transfer,-8,EUR
05.08.2018,debit,gas station,-50.35,EUR
05.08.2018,debit,takeaway food,-11.7,EUR
04.08.2018,debit,gas station,-8.99,EUR
04.08.2018,debit,paypal,-2.33,EUR
04.08.2018,debit,takeaway food,-14.48,EUR
04.08.2018,debit,paypal,-16.83,EUR
04.08.2018,debit,takeaway food,-22.08,EUR
04.08.2018,debit,takeaway food,-19.49,EUR
03.08.2018,transfer,money transfer,-50,EUR
03.08.2018,debit,gas station,-10.07,EUR
03.08.2018,transfer,rent,-1490,EUR
03.08.2018,interest/charges,interest,0,EUR
03.08.2018,debit,health insurance,-45,EUR
03.08.2018,debit,loan,-149.1,EUR
03.08.2018,debit,electricity,-44,EUR
03.08.2018,debit,public transportation ,-87.2,EUR
03.08.2018,debit,takeaway food,-11,EUR
03.08.2018,debit,gas station,-27.05,EUR
03.08.2018,debit,gas,-59,EUR
03.08.2018,debit,health insurance,-390,EUR
03.08.2018,debit,car rate,-350,EUR
03.08.2018,debit,gym,-15,EUR
03.08.2018,debit,paypal,-20.81,EUR
03.08.2018,debit,loan,-350.56,EUR
03.08.2018,debit,paypal,-20,EUR
03.08.2018,debit,car insurance,-158.35,EUR
31.07.2018,interest/charges,interest,-0.8,EUR
31.07.2018,transfer,money transfer,-11,EUR
31.07.2018,debit,gas station,-51.52,EUR
31.07.2018,debit,credit card,-190.85,EUR
31.07.2018,debit,paypal,-1.99,EUR
30.07.2018,credit,income,5833.23,EUR
30.07.2018,debit,paypal,-4.48,EUR
29.07.2018,debit,electronics store,-77,EUR
29.07.2018,credit,money transfer,20,EUR
29.07.2018,debit,takeaway food,-14.23,EUR
28.07.2018,debit,gas station,-39.52,EUR
28.07.2018,debit,takeaway food,-22.26,EUR
28.07.2018,debit,paypal,-22.04,EUR
28.07.2018,debit,spotify,-9.74,EUR
28.07.2018,debit,paypal,-9.99,EUR
28.07.2018,debit,telephone,-114.07,EUR
28.07.2018,debit,paypal,-10.64,EUR
28.07.2018,debit,takeaway food,-26.3,EUR
27.07.2018,debit,supermarket,-24.82,EUR
27.07.2018,debit,supermarket,-34.34,EUR
24.07.2018,debit,gas station,-50.67,EUR
24.07.2018,debit,takeaway food,-13.15,EUR
23.07.2018,debit,gas station,-8.99,EUR
23.07.2018,debit,takeaway food,-14.4,EUR
22.07.2018,Cash Deposit/Withdrawal,cash withdrawal,-300,EUR
22.07.2018,debit,gas station,-4.98,EUR
21.07.2018,debit,takeaway food,-17.2,EUR
21.07.2018,debit,takeaway food,-16.04,EUR
21.07.2018,debit,gas,-1.93,EUR
16.07.2018,debit,gas station,-38.46,EUR
16.07.2018,debit,takeaway food,-18.2,EUR
16.07.2018,debit,online learning,-28.74,EUR
15.07.2018,debit,internet,-39.9,EUR
14.07.2018,Cash Deposit/Withdrawal,cash withdrawal,-70,EUR
14.07.2018,debit,coffee,-4.99,EUR
14.07.2018,debit,gas station,-49.11,EUR
14.07.2018,debit,gas station,-4.99,EUR
14.07.2018,debit,paypal,-1.8,EUR
14.07.2018,debit,takeaway food,-22.5,EUR
14.07.2018,debit,takeaway food,-29.29,EUR
14.07.2018,debit,takeaway food,-18.49,EUR
14.07.2018,debit,paypal,-1.8,EUR
13.07.2018,debit,gas station,-5.78,EUR
13.07.2018,debit,netflix,-11.69,EUR
10.07.2018,debit,gas station,-10.26,EUR
10.07.2018,credit,money transfer,106,EUR
10.07.2018,debit,paypal,-24.99,EUR
10.07.2018,debit,takeaway food,-25.3,EUR
09.07.2018,debit,gas station,-46.29,EUR
08.07.2018,debit,gas station,-4.98,EUR
08.07.2018,transfer,money transfer,-8,EUR
07.07.2018,debit,gas station,-56.05,EUR
07.07.2018,debit,paypal,-20.99,EUR
07.07.2018,debit,paypal,-1,EUR
07.07.2018,debit,paypal,-20,EUR
07.07.2018,debit,takeaway food,-14.99,EUR
07.07.2018,debit,takeaway food,-18,EUR
06.07.2018,debit,coffee,-6,EUR
03.07.2018,Cash Deposit/Withdrawal,cash withdrawal,-80,EUR
03.07.2018,debit,gas station,-6.58,EUR
03.07.2018,credit,bonus,1053.38,EUR
03.07.2018,debit,paypal,-17.69,EUR
02.07.2018,debit,paypal,-20.7,EUR
02.07.2018,debit,takeaway food,-34.3,EUR
01.07.2018,transfer,rent,-1490,EUR
01.07.2018,credit,income,7828.03,EUR
01.07.2018,debit,gas station,-49.68,EUR
01.07.2018,debit,health insurance,-390,EUR
01.07.2018,debit,loan,-149.1,EUR
01.07.2018,debit,paypal,-1.99,EUR
01.07.2018,debit,public transportation ,-87.2,EUR
01.07.2018,debit,car insurance,-158.35,EUR
01.07.2018,debit,gym,-15,EUR
01.07.2018,debit,electricity,-44,EUR
01.07.2018,debit,takeaway food,-35.9,EUR
01.07.2018,debit,car rate,-350,EUR
01.07.2018,debit,gas station,-27.05,EUR
01.07.2018,debit,health insurance,-45,EUR
01.07.2018,debit,taxes,-52.5,EUR
01.07.2018,debit,loan,-350.56,EUR
30.06.2018,interest/charges,interest,-48.95,EUR
30.06.2018,interest/charges,interest,-10.7,EUR
30.06.2018,debit,takeaway food,-20.1,EUR
30.06.2018,debit,takeaway food,-17.34,EUR
30.06.2018,debit,paypal,-22.61,EUR
30.06.2018,debit,paypal,-4.65,EUR
30.06.2018,debit,spotify,-9.99,EUR
29.06.2018,debit,credit card,-837.1,EUR
29.06.2018,debit,takeaway food,-15.5,EUR
26.06.2018,debit,gas station,-57.75,EUR
26.06.2018,debit,electricity,-60.65,EUR
26.06.2018,debit,telephone,-137.96,EUR
26.06.2018,debit,paypal,-9.99,EUR
25.06.2018,debit,supermarket,-12.45,EUR
24.06.2018,debit,restaurant,-89.12,EUR
24.06.2018,debit,supermarket,-39.12,EUR
24.06.2018,debit,gas station,-5.99,EUR
24.06.2018,debit,gas station,-6.99,EUR
23.06.2018,debit,gas station,-51.04,EUR
23.06.2018,debit,takeaway food,-20.68,EUR
23.06.2018,debit,takeaway food,-26.3,EUR
22.06.2018,debit,gas station,-8.28,EUR
22.06.2018,debit,internet,-39.9,EUR
19.06.2018,debit,drugstore,-55.11,EUR
19.06.2018,debit,gas station,-51.38,EUR
19.06.2018,debit,takeaway food,-14.5,EUR
17.06.2018,debit,gas station,-4.98,EUR
17.06.2018,transfer,taxes,-157.1,EUR
16.06.2018,debit,gas station,-52.64,EUR
16.06.2018,debit,takeaway food,-14.99,EUR
16.06.2018,debit,takeaway food,-19.3,EUR
16.06.2018,debit,online learning,-29.49,EUR
15.06.2018,debit,supermarket,-40.45,EUR
15.06.2018,debit,takeaway food,-16.25,EUR
12.06.2018,debit,netflix,-11.99,EUR
11.06.2018,debit,paypal,-9.99,EUR
10.06.2018,debit,money withdrawal,-140.8,EUR
10.06.2018,transfer,money transfer,-11.73,EUR
10.06.2018,debit,paypal,-24.99,EUR
09.06.2018,debit,gas station,-39.15,EUR
08.06.2018,Cash Deposit/Withdrawal,cash withdrawal,-80,EUR
08.06.2018,debit,gas station,-33.27,EUR
08.06.2018,debit,supermarket,-2.89,EUR
08.06.2018,debit,paypal,-37.6,EUR
08.06.2018,credit,money transfer,30,EUR
04.06.2018,transfer,rent,-1490,EUR
03.06.2018,debit,gas station,-43.64,EUR
03.06.2018,debit,car rate,-350,EUR
03.06.2018,debit,paypal,-17.88,EUR
03.06.2018,debit,gym,-15,EUR
02.06.2018,debit,car insurance,-158.35,EUR
